UID        PID  PPID  C STIME TTY          TIME CMD
gdm       2739  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-housekeeping
gdm       2740  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-keyboard
gdm       2741  2496  0 Mar12 ?        00:00:53 /usr/libexec/gsd-media-keys
gdm       2744  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-mouse
gdm       2746  2496  0 Mar12 ?        00:01:17 /usr/libexec/gsd-power
gdm       2747  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-print-notifications
gdm       2750  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-rfkill
gdm       2753  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm       2757  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-sharing
gdm       2762  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-smartcard
gdm       2767  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-sound
gdm       2768  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-wacom
colord    2797     1  0 Mar12 ?        00:00:00 /usr/libexec/colord
gdm       2852  2687  0 Mar12 ?        00:00:00 /usr/libexec/ibus-engine-simple
root      2871     2  0 Mar12 ?        00:00:05 [kworker/5:1H]
oracle    2873     1  0 Mar12 ?        00:29:53 ora_pmon_VES081
oracle    2875     1  0 Mar12 ?        00:08:06 ora_clmn_VES081
oracle    2877     1  0 Mar12 ?        01:00:57 ora_psp0_VES081
oracle    2879     1  0 Mar12 ?        1-13:16:56 ora_vktm_VES081
oracle    2883     1  0 Mar12 ?        00:12:19 ora_gen0_VES081
oracle    2886     1  0 Mar12 ?        00:07:53 ora_mman_VES081
oracle    2890     1  0 Mar12 ?        01:43:29 ora_gen1_VES081
oracle    2893     1  0 Mar12 ?        00:16:51 ora_diag_VES081
oracle    2895     1  0 Mar12 ?        00:10:20 ora_ofsd_VES081
oracle    2898     1  0 Mar12 ?        04:53:09 ora_dbrm_VES081
oracle    2900     1  0 Mar12 ?        17:35:12 ora_vkrm_VES081
oracle    2902     1  0 Mar12 ?        00:17:37 ora_svcb_VES081
oracle    2904     1  0 Mar12 ?        00:27:50 ora_pman_VES081
oracle    2906     1  0 Mar12 ?        06:58:23 ora_dia0_VES081
oracle    2908     1  0 Mar12 ?        00:13:59 ora_dbw0_VES081
oracle    2910     1  0 Mar12 ?        00:13:38 ora_dbw1_VES081
oracle    2912     1  0 Mar12 ?        00:13:34 ora_dbw2_VES081
oracle    2914     1  0 Mar12 ?        00:49:09 ora_lgwr_VES081
oracle    2916     1  0 Mar12 ?        01:23:43 ora_ckpt_VES081
oracle    2918     1  0 Mar12 ?        01:31:19 ora_lg00_VES081
oracle    2920     1  0 Mar12 ?        00:06:29 ora_smon_VES081
oracle    2922     1  0 Mar12 ?        00:11:05 ora_lg01_VES081
oracle    2924     1  0 Mar12 ?        00:36:33 ora_smco_VES081
oracle    2926     1  0 Mar12 ?        00:04:30 ora_reco_VES081
oracle    2930     1  0 Mar12 ?        00:10:25 ora_lreg_VES081
oracle    2934     1  0 Mar12 ?        00:07:27 ora_pxmn_VES081
oracle    2938     1  0 Mar12 ?        01:08:19 ora_mmon_VES081
oracle    2940     1  0 Mar12 ?        00:07:25 ora_mmnl_VES081
oracle    2942     1  0 Mar12 ?        00:05:37 ora_d000_VES081
oracle    2944     1  0 Mar12 ?        00:04:38 ora_s000_VES081
oracle    2946     1  0 Mar12 ?        00:05:08 ora_tmon_VES081
root      2949     2  0 Mar12 ?        00:00:00 [kworker/13:1H]
root      3012     2  0 Aug02 ?        00:00:00 [kworker/20:1]
oracle    3072     1  0 Mar12 ?        00:05:03 ora_tt00_VES081
oracle    3074     1  0 Mar12 ?        00:04:31 ora_tt01_VES081
oracle    3076     1  0 Mar12 ?        00:14:11 ora_tt02_VES081
oracle    3091     1  0 Mar12 ?        00:04:46 ora_aqpc_VES081
oracle    3093     1  0 Mar12 ?        03:18:59 ora_cjq0_VES081
root      3097     2  0 Mar12 ?        00:00:06 [kworker/10:1H]
oracle    3099     1  0 Mar12 ?        00:08:17 ora_w002_VES081
oracle    3541     1  0 Mar12 ?        00:05:21 ora_qm02_VES081
oracle    3548     1  0 Mar12 ?        00:03:45 ora_q003_VES081
oracle    3747     1  0 Mar12 ?        00:05:25 ora_q00j_VES081
root      3778     2  0 07:26 ?        00:00:00 [kworker/17:1]
oracle    4007     1  0 Sep06 ?        00:00:24 ora_w003_VES081
oracle    4072     1  0 Sep06 ?        00:00:24 ora_w00p_VES081
root      4303     2  0 Sep14 ?        00:00:00 [kworker/13:0]
root      4417     2  0 Sep11 ?        00:00:00 [kworker/22:2]
oracle    4527     1  0 Sep05 ?        00:00:24 ora_w00a_VES081
oracle    5291     1  0 Mar29 ?        00:07:51 ora_w00k_VES081
root      5470     2  0 Mar12 ?        00:00:00 [kworker/22:1H]
root      6227     2  0 07:32 ?        00:00:00 [kworker/16:0]
root      6515     2  0 Mar12 ?        00:00:00 [kworker/12:1H]
root      6527     2  0 08:45 ?        00:00:00 [kworker/5:2]
root      6614     2  0 06:14 ?        00:00:00 [kworker/4:2]
root      7996     2  0 Aug31 ?        00:00:00 [kworker/23:1]
root      9014     2  0 Mar12 ?        00:00:00 [kworker/17:1H]
